title,year,runtime_minutes,genres,average_rating,num_votes,log_votes,rating_pct,votes_pct,love_score,cult_factor,decade,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,rating_cat,votes_cat,runtime_cat
The Shawshank Redemption,1994,142.0,Drama,9.3,3182733,14.973251133812049,0.9999692212988612,1.0,0.9999692212988612,-3.077870113876724e-05,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
The Dark Knight,2008,152.0,"Action,Crime,Drama",9.1,3161984,14.966710552907285,0.9998153277931672,0.9999384425977224,0.9997537817588309,-0.00012311480455517998,2000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
Inception,2010,148.0,"Action,Adventure,Sci-Fi",8.8,2811692,14.849297350988234,0.9985534010464758,0.9998768851954447,0.998430464339668,-0.0013234841489688787,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
Fight Club,1999,139.0,"Crime,Drama,Thriller",8.8,2601984,14.77178517324166,0.9985534010464758,0.9998153277931672,0.9983689959862642,-0.0012619267466913442,1990,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Top,Massive,Epic
Interstellar,2014,169.0,"Adventure,Drama,Sci-Fi",8.7,2521607,14.740407351229496,0.997383810403201,0.9997537703908895,0.9971382249774323,-0.002369959987688519,2010,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
Forrest Gump,1994,142.0,"Drama,Romance",8.8,2492584,14.728830882543582,0.9985534010464758,0.9996922129886119,0.9982460592794563,-0.0011388119421360532,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Top,Massive,Epic
Pulp Fiction,1994,154.0,"Crime,Drama",8.8,2431723,14.70411102878597,0.9985534010464758,0.9996306555863342,0.9981845909260524,-0.0010772545398584077,1990,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
The Matrix,1999,136.0,"Action,Sci-Fi",8.7,2243917,14.62373400306757,0.997383810403201,0.9995690981840566,0.9969540359081057,-0.0021852877808555826,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
The Lord of the Rings: The Fellowship of the Ring,2001,178.0,"Adventure,Drama,Fantasy",8.9,2203274,14.605455447771467,0.9992613111726685,0.9995075407817791,0.9987692157285699,-0.000246229609110582,2000,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
The Lord of the Rings: The Return of the King,2003,201.0,"Adventure,Drama,Fantasy",9.0,2161551,14.586337040168019,0.9996306555863342,0.9994459833795014,0.9990768435887795,0.00018467220683282548,2000,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
Seven,1995,127.0,"Crime,Drama,Mystery",8.6,2017173,14.51720807994836,0.9958140966451215,0.9993844259772238,0.9952010993557124,-0.003570329332102218,1990,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Top,Massive,Epic
The Dark Knight Rises,2012,164.0,"Action,Crime,Drama",8.4,1990793,14.50404411209822,0.9905817174515236,0.9993228685749461,0.9899109634415533,-0.008741151123422553,2010,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
The Lord of the Rings: The Two Towers,2002,179.0,"Adventure,Drama,Fantasy",8.8,1954133,14.48545768651093,0.9985534010464758,0.9992613111726685,0.9978157808056289,-0.0007079101261926457,2000,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
